objectid,filename,title,type,mediatype,format,description,creator,date,date-is-approximate?,item_dimensions,subject,location,latitude,longitude,rights,rightsstatement,type,reference_url
afcer11,/objects/small/afcer11.jpg,Tall bowl,,,image/jpeg,Negative photograph of a pin worn by members of Psychiana. Pin includes a small hand holding a lit torch with the capital letter 'P' prominently in front.,"Francis, Aftan",2009,,single-page; buttons (information artifacts),Psychiana Pin,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer12,/objects/small/afcer12.jpg,Rose vase,,,image/jpeg,Negative photograph from overhead view of a lake either after or during its development. Photograph includes a storage structure and several dirt roads running around and into the lake.,"Francis, Aftan",2010,yes,single-page; negatives,Recreation; Latah County,"Robinson Lake, Moscow, ID",46.755184,-116.909892,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer13,/objects/small/afcer13.jpg,Three-footed bowl,,,image/jpeg,"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.","Francis, Aftan",2009,,single-page; negatives,Robinson's Writings; Psychiana Journal,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer14,/objects/small/afcer14.jpg,Tri-corner bowl,,,image/jpeg,A flyer discussing the Japanese attack on Pearl Harbor in 1941.,"Francis, Aftan",2009,,single-page; flyers,"Moscow, Idaho; World War;","New York, NY",40.713569,-74.023587,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer15,/objects/small/afcer15.jpg,An open mind,,,image/jpeg,"A postage-paid, business reply card addressed to Psychiana headquarters.","Francis, Aftan",2010,yes,postcard; reply cards,"Power; Spirit of God, God-Power;  Free; Information",,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer16,/objects/small/afcer16.jpg,Exaggerated features 1,,,image/jpeg,A form letter from Frank B. Robinson asks members to meet their monetary commitment for the movement.,"Francis, Aftan",2006,yes,single-page; form letters,Commitment; Delinquent; Students; Lessons,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer17,/objects/small/afcer17.jpg,Cranky serving bowl,,,image/jpeg,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana.,"Francis, Aftan",2010,yes,multiple-page; application forms,Sale Agency; Money-Making Opportunity; Students; Territory; Spreading Psychiana,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer18,/objects/small/afcer18.jpg,Exaggerated features 2,,,image/jpeg,"Photograph of unmarked corner building located at the intersection of 1st and Main Street in Moscow, Idaho.","Francis, Aftan",2006,yes,single-page; photographs,"Moscow, Idaho","Moscow, ID",46.733843,-117.001138,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afcer19,/objects/small/afcer19.jpg,Face in deep bowl,,,image/jpeg,"Photograph of all women staff from Psychiana clerical and bookkeeping standing in front of the Branch Mailing Department at 1st and Main Street in Moscow, Idaho. This building is two stories and occupies half a block.","Francis, Aftan",2016,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Bookkeeping; Mailings,"Moscow, ID",46.733843,-117.001138,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink01,/objects/small/afink01.jpg,Plum blossom,,,image/jpeg,"Photograph of the corner drug store in Moscow, Idaho where Frank Robinson worked as a clerk and wrote the first lessons of Psychiana.","Francis, Aftan",2014,yes,single-page; photographs,"Moscow, Idaho; Drug Store Clerk","Moscow, ID",46.732505,-117.001181,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink02,/objects/small/afink02.jpg,Bamboo 1,,,image/jpeg,Photograph depicts Frank B. Robinson with his sleeves rolled up and an unidentified male and female staff member working at row of small printing presses.,"Francis, Aftan",2014,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink03,/objects/small/afink03.jpg,Plum tree branch with blossoms 1,,,image/jpeg,"Photograph depicts Frank B. Robinson handing Mr. Henry Banks a can of 'rattlesnake meat' out front of the building of the publication, The News Review.","Francis, Aftan",2014,yes,single-page; photographs,The News Review; Frank B. Robinson,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink04,/objects/small/afcer04.jpg,Plum tree branch with blossoms 2,,,image/jpeg,Photograph of Frank B. Robinson standing outside the passenger side of his Duesenberg Convertible Coupe with a park in the background.,"Francis, Aftan",2014,yes,single-page; photographs,Duesenberg Convertible Coupe,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink05,/objects/small/afcer05.jpg,Bamboo 2,,,image/jpeg,"Photograph of Frank B. Robinson standing by the hood of his Duesenberg Convertible Coupe in a public square or street with many people standing behind him. Along the running board, a sign reads 'Duesenberg Straight 8.'","Francis, Aftan",2014,yes,single-page; photographs,Duesenberg Convertible Coupe; Public Square,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink06,/objects/small/afcer06.jpg,Traditional village,,,image/jpeg,Photograph of view of Frank B. Robinson sitting in the driver's side of his Duesenberg convertible coupe at the curb in front of his house.,"Francis, Aftan",2013,yes,single-page; photographs,Duesenberg Convertible Coupe; Home,"Moscow, ID",46.733027,-116.992443,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink07,/objects/small/afink07.jpg,Mountain in the distance,,,image/jpeg,"Photograph depicts Frank. B. Robinson with his sleeves rolled up, loading a small printing press with ink from a black container.","Francis, Aftan",2013,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink08,/objects/small/afink08.jpg,Hydrangea,,,image/jpeg,Photograph of Frank B. Robinson playing from a book of sheet music on his pipe organ.,"Francis, Aftan",2014,yes,single-page; photographs,Pipe Organ,"Moscow, ID",46.732534,-117.003116,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink09,/objects/small/afink09.jpg,Bloom,,,image/jpeg,Photograph depicts young Frank B. Robinson standing in a doorway with his hands on his hips and watching smiling female Psychiana staff complete tasks.,"Francis, Aftan",2014,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afink10,/objects/small/afink10.jpg,Hiding in the garden,,,image/jpeg,Photograph depicts Frank B. Robinson standing behind an unidentified male staff member who edits a lithograph plate at a drafting table.,"Francis, Aftan",2007,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,"Moscow, ID",46.732534,-117.003116,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afoil01,/objects/small/afoil01.jpg,Still life study,,,image/jpeg,Photograph depicts an unidentified man and woman sitting over a desk and writing records in ledgers or some sort of record books. The calendar over the desk marks the month of May in year 1938.,"Francis, Aftan",2006,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff,"Moscow, ID",46.732534,-117.003116,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen01,/objects/small/afpen01.jpg,Hammerhead and sei,,,image/jpeg,"Photograph depicts several female Psychiana staff sitting around a revolving 'rotary table,' operated by electric motor and used to assemble Frank B. Robinsons Lessons and follow-up literature before mailing.","Francis, Aftan",2016,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Lessons,"Moscow, ID",46.731365,-116.999089,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen02,/objects/small/afpen02.jpg,Diamond tattoo design,,,image/jpeg,"Photograph of all women staff standing in front of Psychiana's International Headquarters, which operated with a staff of sixty-three women who conducted a direct mail campaign.","Francis, Aftan",2016,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,"Moscow, ID",46.733843,-117.001138,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen03,/objects/small/afpen03.jpg,Sun circle tattoo design,,,image/jpeg,"Photograph depicts the bookkeeping department in the Psychiana Branch Mailing Department and several female staff completing various tasks of typing, sorting mail, calculating and keeping records.","Francis, Aftan",2016,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen04,/objects/small/afpen04.jpg,Wrapping tattoo design,,,image/jpeg,"Photograph of The Professional Building main entrance from street view. The Professional Building housed most lawyers and doctors in Moscow, Idaho, along with the Robinson's Exclusive Prescription Pharmacy, grossing $8,000 a year in rent.","Francis, Aftan",2016,,single-page; photographs,"Moscow, Idaho; Finances","Moscow, ID",46.733843,-117.001138,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen05,/objects/small/afpen05.jpg,Self-portrait (elongated),,,image/jpeg,"Photograph depicts W.J. Marinean standing between Howard Wallace and T.J. Grief, who sit at two linograph machines and work.","Francis, Aftan",2016,,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpen06,/objects/small/afpen06.jpg,My father,,,image/jpeg,Photograph depicts two women sitting next to each other at a desk and using Dictaphones and typewriters to transcribe documents.,"Francis, Aftan",2007,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
afpho01,/objects/small/afpho01.jpg,It's time to grow up,,,image/jpeg,Photograph depicts a female Psychiana staff member loading handfuls of envelopes into a sorter machine in preparation for mailing.,"Francis, Aftan",2007,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Mailings,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,
