objectid,filename,title,format,description,type,creator,date,item_dimensions,subject,location,latitude,longitude,rights,rightsstatement
cer11,afcer11.jpg,Tall bowl,image/jpeg,Negative photograph of a pin worn by members of Psychiana. Pin includes a small hand holding a lit torch with the capital letter 'P' prominently in front.,,"Francis, Aftan",2009,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer12,afcer12.jpg,Rose vase,image/jpeg,Negative photograph from overhead view of a lake either after or during its development. Photograph includes a storage structure and several dirt roads running around and into the lake.,,"Francis, Aftan",2010,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer13,afcer13.jpg,Three-footed bowl,image/jpeg,"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.",,"Francis, Aftan",2009,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer14,afcer14.jpg,Tri-corner bowl,image/jpeg,A flyer discussing the Japanese attack on Pearl Harbor in 1941.,,"Francis, Aftan",2009,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer15,afcer15.jpg,An open mind,image/jpeg,"A postage-paid, business reply card addressed to Psychiana headquarters.",,"Francis, Aftan",2010,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer16,afcer16.jpg,Exaggerated features 1,image/jpeg,A form letter from Frank B. Robinson asks members to meet their monetary commitment for the movement.,,"Francis, Aftan",2006,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer17,afcer17.jpg,Cranky serving bowl,image/jpeg,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana.,,"Francis, Aftan",2010,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer18,afcer18.jpg,Exaggerated features 2,image/jpeg,"Photograph of unmarked corner building located at the intersection of 1st and Main Street in Moscow, Idaho.",,"Francis, Aftan",2006,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
cer19,afcer19.jpg,Face in deep bowl,image/jpeg,"Photograph of all women staff from Psychiana clerical and bookkeeping standing in front of the Branch Mailing Department at 1st and Main Street in Moscow, Idaho. This building is two stories and occupies half a block.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink01,afink01.jpg,Plum blossom,image/jpeg,"Photograph of the corner drug store in Moscow, Idaho where Frank Robinson worked as a clerk and wrote the first lessons of Psychiana.",,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink02,afink02.jpg,Bamboo 1,image/jpeg,Photograph depicts Frank B. Robinson with his sleeves rolled up and an unidentified male and female staff member working at row of small printing presses.,,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink03,afink03.jpg,Plum tree branch with blossoms 1,image/jpeg,"Photograph depicts Frank B. Robinson handing Mr. Henry Banks a can of 'rattlesnake meat' out front of the building of the publication, The News Review.",,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink04,afcer04.jpg,Plum tree branch with blossoms 2,image/jpeg,Photograph of Frank B. Robinson standing outside the passenger side of his Duesenberg Convertible Coupe with a park in the background.,,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink05,afcer05.jpg,Bamboo 2,image/jpeg,"Photograph of Frank B. Robinson standing by the hood of his Duesenberg Convertible Coupe in a public square or street with many people standing behind him. Along the running board, a sign reads 'Duesenberg Straight 8.'",,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink06,afcer06.jpg,Traditional village,image/jpeg,Photograph of view of Frank B. Robinson sitting in the driver's side of his Duesenberg convertible coupe at the curb in front of his house.,,"Francis, Aftan",2013,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink07,afink07.jpg,Mountain in the distance,image/jpeg,"Photograph depicts Frank. B. Robinson with his sleeves rolled up, loading a small printing press with ink from a black container.",,"Francis, Aftan",2013,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink08,afink08.jpg,Hydrangea,image/jpeg,Photograph of Frank B. Robinson playing from a book of sheet music on his pipe organ.,,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink09,afink09.jpg,Bloom,image/jpeg,Photograph depicts young Frank B. Robinson standing in a doorway with his hands on his hips and watching smiling female Psychiana staff complete tasks.,,"Francis, Aftan",2014,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
ink10,afink10.jpg,Hiding in the garden,image/jpeg,Photograph depicts Frank B. Robinson standing behind an unidentified male staff member who edits a lithograph plate at a drafting table.,,"Francis, Aftan",2007,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
oil01,afoil01.jpg,Still life study,image/jpeg,Photograph depicts an unidentified man and woman sitting over a desk and writing records in ledgers or some sort of record books. The calendar over the desk marks the month of May in year 1938.,,"Francis, Aftan",2006,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen01,afpen01.jpg,Hammerhead and sei,image/jpeg,"Photograph depicts several female Psychiana staff sitting around a revolving 'rotary table,' operated by electric motor and used to assemble Frank B. Robinsons Lessons and follow-up literature before mailing.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen02,afpen02.jpg,Diamond tattoo design,image/jpeg,"Photograph of all women staff standing in front of Psychiana's International Headquarters, which operated with a staff of sixty-three women who conducted a direct mail campaign.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen03,afpen03.jpg,Sun circle tattoo design,image/jpeg,"Photograph depicts the bookkeeping department in the Psychiana Branch Mailing Department and several female staff completing various tasks of typing, sorting mail, calculating and keeping records.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen04,afpen04.jpg,Wrapping tattoo design,image/jpeg,"Photograph of The Professional Building main entrance from street view. The Professional Building housed most lawyers and doctors in Moscow, Idaho, along with the Robinson's Exclusive Prescription Pharmacy, grossing $8,000 a year in rent.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen05,afpen05.jpg,Self-portrait (elongated),image/jpeg,"Photograph depicts W.J. Marinean standing between Howard Wallace and T.J. Grief, who sit at two linograph machines and work.",,"Francis, Aftan",2016,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pen06,afpen06.jpg,My father,image/jpeg,Photograph depicts two women sitting next to each other at a desk and using Dictaphones and typewriters to transcribe documents.,,"Francis, Aftan",2007,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
pho01,afpho01.jpg,It's time to grow up,image/jpeg,Photograph depicts a female Psychiana staff member loading handfuls of envelopes into a sorter machine in preparation for mailing.,,"Francis, Aftan",2007,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/
